dom ; request ; size ; historical ; collinearity
433.0 ; 100.0 ; 4332.306640625 ; 46.70 ; 70.17
399.0 ; 84.0 ; 2168.9287109375 ; 54.45 ; 64.74
1055.0 ; 71.0 ; 2450.5908203125 ; 36.08 ; 56.15
1233.0 ; 65.0 ; 2849.8935546875 ; 33.79 ; 56.15
1520.0 ; 323.0 ; 4206.646484375 ; 11.17 ; 66.96
1048.0 ; 4.0 ; 501.435546875 ; 57.68 ; 61.04
581.0 ; 28.0 ; 282.3720703125 ; 67.96 ; 64.79
96.0 ; 13.0 ; 56.2021484375 ; 90.15 ; 61.53
1371.0 ; 42.0 ; 790.0517578125 ; 45.12 ; 60.40
482.0 ; 10.0 ; 613.939453125 ; 73.00 ; 52.00
1137.0 ; 230.0 ; 723.8515625 ; 26.34 ; 62.02
186.0 ; 91.0 ; 36143.6484375 ; 56.39 ; 74.47
62.0 ; 1.0 ; 24.4091796875 ; 94.36 ; 60.00
2832.0 ; 493.0 ; 2564.0693359375 ; 8.86 ; 49.83
1102.0 ; 35.0 ; 1241.2509765625 ; 47.84 ; 44.49
920.0 ; 232.0 ; 1625.3623046875 ; 26.02 ; 64.25
2408.0 ; 268.0 ; 6297.564453125 ; 6.10 ; 62.17
3169.0 ; 604.0 ; 1117.154296875 ; 13.92 ; 52.44
132.0 ; 70.0 ; 14969.44921875 ; 62.44 ; 74.47
175.0 ; 15.0 ; 875.6572265625 ; 83.13 ; 65.68
570.0 ; 70.0 ; 2095.55078125 ; 50.56 ; 62.47
55.0 ; 68.0 ; 2033.4697265625 ; 71.77 ; 74.47
1052.0 ; 199.0 ; 3129.212890625 ; 20.35 ; 61.09
524.0 ; 30.0 ; 733.6484375 ; 67.38 ; 55.75
3402.0 ; 17.0 ; 1004.41796875 ; 42.65 ; 60.89
96.0 ; 13.0 ; 56.1669921875 ; 90.15 ; 61.53
670.0 ; 110.0 ; 104.6875 ; 48.85 ; 67.56
512.0 ; 37.0 ; 715.072265625 ; 66.61 ; 55.75
470.0 ; 8.0 ; 261.130859375 ; 75.60 ; 55.41
594.0 ; 61.0 ; 4478.3310546875 ; 48.10 ; 69.58
3520.0 ; 621.0 ; 638.2265625 ; 16.47 ; 66.02
298.0 ; 27.0 ; 4378.0458984375 ; 67.81 ; 76.20
2842.0 ; 44.0 ; 4798.5068359375 ; 29.09 ; 62.22
1473.0 ; 120.0 ; 1529.5087890625 ; 25.01 ; 40.69
469.0 ; 61.0 ; 14698.97265625 ; 51.58 ; 77.63
174.0 ; 6.0 ; 25.484375 ; 88.84 ; 66.12
93.0 ; 20.0 ; 6822.28125 ; 74.85 ; 74.47
1533.0 ; 5.0 ; 799.5517578125 ; 49.82 ; 57.28
