operateur;latitude;longitude;CP;ville;url;dom;req;size;EcoIndex;GreenHouseGaz;water;PageChargeeMoins5s;temps_en_secondes;Conso_totale_(MWh);Conso_moyenne_(MWh);Photovoltaique
SFR;48.5328;2.67558;77288;MELUN;https://www.spotify.com/fr/;82;37;8014303;71.73;1.57;2.3;1.0;2.1;67588.45088445165;3.2480393524173032;89.42252980716013
SFR;43.39502;5.06068;13056;ISTRES;https://meteofrance.com/;1073;65;1889378;38.86;2.22;3.3;1.0;5.5;123414.73022195324;4.8867444158365965;1605.2672064758228
SFR;43.34413;-1.61997;64504;BAYONNE;https://m.facebook.com/;202;52;892151;74.86;1.50;2.2;0.0;10.02;8386.766680808176;5.931235276384848;51.02640725288164
ORANGE;43.63908;3.92497;34057;MONTPELLIER;https://www.jeuxvideo.com/;3069;10;995086;43.80;2.12;3.1;1.0;9.3;61598.84597695512;4.50382729962383;584.11037530815
ORANGE;44.16952;4.15725;30274;ALÈS;https://meteofrance.com/;1073;65;1889378;38.86;2.22;3.3;1.0;4.74;11242.620905162186;6.897313438749808;265.47977193143635
SFR;47.29284;1.76984;41194;ROMORANTIN-LANTHENAY;https://www.jeuxvideo.com/;3062;10;994750;43.80;2.12;3.1;1.0;4.63;49038.58706226578;4.934948884197019;174.251923894131
FREE;46.08445;-1.07353;17109;LA ROCHELLE;https://www.spotify.com/fr/;82;37;8014301;71.73;1.57;2.3;1.0;2.22;5133.972555310401;7.959647372574265;137.39138524504696
SFR;42.68615;2.81212;66195;PERPIGNAN;https://www.ubereats.com/fr;190;69;4553254;62.33;1.75;2.6;1.0;8.26;23651.456272473155;6.258654742649684;293.30185510363424
ORANGE;43.63198;6.95691;06069;GRASSE;https://www.bing.com/;242;6;116354;85.99;1.28;1.9;1.0;3.08;141724.98138157022;5.337839681427074;888.0207016935751
SFR;43.50851;5.40703;13001;AIX-EN-PROVENCE;https://www.allocine.fr/;1597;30;2000999;40.32;2.19;3.2;1.0;3.05;371882.9357412679;4.361086577712381;1705.3597862168592
FREE;43.63208;7.13463;06161;GRASSE;https://www.bing.com/;242;6;116354;85.99;1.28;1.9;1.0;2.05;59795.18015822904;4.721293340562893;328.79975809160686
SFR;43.1474;2.72633;11067;NARBONNE;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;0.0;10.01;6126.731058030635;6.375370507836249;137.59242314482833
BOUYGUES TELECOM;47.25698;-1.51306;44109;NANTES;https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal;1762;369;344100;20.99;2.58;3.8;1.0;1.96;529964.8367991232;2.8722668935679887;608.334
ORANGE;43.95469;4.82566;84007;AVIGNON;https://www.impots.gouv.fr/accueil;860;40;155192;57.49;1.85;2.7;1.0;2.46;205232.8956445867;3.85921202791626;29082.5685
BOUYGUES TELECOM;48.62811;2.59029;77384;MELUN;https://www.bing.com/;242;6;116354;85.99;1.28;1.9;1.0;1.73;3945.580100973516;6.642390742379656;76.35523594771307
BOUYGUES TELECOM;43.85757;4.9107;13066;ARLES;https://www.impots.gouv.fr/accueil;860;40;155192;57.49;1.85;2.7;1.0;6.38;20573.51356953781;7.337201700976395;6649.8845
ORANGE;43.68866;4.27342;30341;NÎMES;https://www.instagram.com/accounts/login/;173;94;40291350;56.26;1.87;2.8;1.0;3.46;31370.7868367031;5.602926743472603;1509.887
ORANGE;43.6015;3.85218;34172;MONTPELLIER;https://signup.live.com/?lic=1;518;14;654833;70.87;1.58;2.3;1.0;2.07;530034.9905797594;3.081294235917144;1893.945495459772
BOUYGUES TELECOM;50.53765;2.80287;59320;LILLE;https://m.youtube.com/;417;31;22490476;60.50;1.79;2.6;1.0;2.01;3410.166243547803;5.007586260716304;26.25354195356103
